component *(D1/PsbA),TraesCS5D02G008300
phospholipase-A1 *(PC-PLA1),TraesCS4A02G240400
phospholipase-A1 *(PC-PLA1),TraesCS4A02G240500
phospholipase-A1 *(PC-PLA1),TraesCS4A02G300800
phospholipase-A1 *(PC-PLA1),TraesCS4A02G300900
phospholipase-A1 *(PC-PLA1),TraesCS4B02G074400
phospholipase-A1 *(PC-PLA1),TraesCS4B02G074500
phospholipase-A1 *(PC-PLA1),TraesCS4D02G073000
phospholipase-A1 *(PC-PLA1),TraesCS4D02G073100
phosphatidylglycerol lipase *(PLIP1),TraesCS3A02G173000
phosphatidylglycerol lipase *(PLIP1),TraesCS3A02G222400
phosphatidylglycerol lipase *(PLIP1),TraesCS3B02G203700
phosphatidylglycerol lipase *(PLIP1),TraesCS3B02G252800
phosphatidylglycerol lipase *(PLIP1),TraesCS3D02G179200
phosphatidylglycerol lipase *(PLIP1),TraesCS3D02G230200
phospholipase-A2 *(sPLA2)),TraesCS2A02G471600
phospholipase-A2 *(sPLA2)),TraesCS2B02G494400
phospholipase-A2 *(sPLA2)),TraesCS2D02G471500
phospholipase-A2 *(sPLA2)),TraesCS4A02G087100
phospholipase-A2 *(sPLA2)),TraesCS4A02G270800
phospholipase-A2 *(sPLA2)),TraesCS4B02G043300
phospholipase-A2 *(sPLA2)),TraesCS4B02G217300
phospholipase-A2 *(sPLA2)),TraesCS4D02G040800
phospholipase-A2 *(sPLA2)),TraesCS4D02G217600
phospholipase-A2 *(pPLA2-I)),TraesCS2A02G220900
phospholipase-A2 *(pPLA2-I)),TraesCS2B02G246500
phospholipase-A2 *(pPLA2-I)),TraesCS2D02G226600
phospholipase-A2 *(pPLA2-II)),TraesCS1A02G059100
phospholipase-A2 *(pPLA2-II)),TraesCS1A02G303400
phospholipase-A2 *(pPLA2-II)),TraesCS1A02G407800
phospholipase-A2 *(pPLA2-II)),TraesCS1B02G077500
phospholipase-A2 *(pPLA2-II)),TraesCS1B02G313800
phospholipase-A2 *(pPLA2-II)),TraesCS1D02G060500
phospholipase-A2 *(pPLA2-II)),TraesCS1D02G302900
phospholipase-A2 *(pPLA2-II)),TraesCS2A02G159600
phospholipase-A2 *(pPLA2-II)),TraesCS2B02G185200
phospholipase-A2 *(pPLA2-II)),TraesCS2D02G166800
phospholipase-A2 *(pPLA2-II)),TraesCS3A02G046500
phospholipase-A2 *(pPLA2-II)),TraesCS3B02G001300
phospholipase-A2 *(pPLA2-II)),TraesCS3B02G036100
phospholipase-A2 *(pPLA2-II)),TraesCS3B02G036500
phospholipase-A2 *(pPLA2-II)),TraesCS3B02G036800
phospholipase-A2 *(pPLA2-II)),TraesCS3D02G033200
phospholipase-A2 *(pPLA2-II)),TraesCS3D02G033500
phospholipase-A2 *(pPLA2-II)),TraesCS3D02G033600
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G017400
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G018100
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G345300
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G345400
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G449600
phospholipase-A2 *(pPLA2-II)),TraesCS4A02G450400
phospholipase-A2 *(pPLA2-II)),TraesCS4B02G286000
phospholipase-A2 *(pPLA2-II)),TraesCS4B02G286600
phospholipase-A2 *(pPLA2-II)),TraesCS4D02G284700
phospholipase-A2 *(pPLA2-II)),TraesCS4D02G285300
phospholipase-A2 *(pPLA2-III)),TraesCS4A02G083200
phospholipase-A2 *(pPLA2-III)),TraesCS4B02G221000
phospholipase-A2 *(pPLA2-III)),TraesCS4D02G221300
phospholipase-C *(nPLC)),TraesCS3A02G083200
phospholipase-C *(nPLC)),TraesCS3A02G439600
phospholipase-C *(nPLC)),TraesCS3A02G492100
phospholipase-C *(nPLC)),TraesCS3B02G098100
phospholipase-C *(nPLC)),TraesCS3B02G552800
phospholipase-C *(nPLC)),TraesCS3B02G553200
phospholipase-C *(nPLC)),TraesCS3D02G083000
phospholipase-C *(nPLC)),TraesCS3D02G499600
phospholipase-C *(nPLC)),TraesCS4A02G298300
phospholipase-C *(nPLC)),TraesCS4A02G369500
phospholipase-C *(nPLC)),TraesCS4B02G015300
phospholipase-C *(nPLC)),TraesCS4D02G013500
phospholipase-D *(PLD-alpha),TraesCS1A02G115300
phospholipase-D *(PLD-alpha),TraesCS1A02G373100
phospholipase-D *(PLD-alpha),TraesCS1B02G050400
phospholipase-D *(PLD-alpha),TraesCS1B02G135200
phospholipase-D *(PLD-alpha),TraesCS1B02G393300
phospholipase-D *(PLD-alpha),TraesCS1D02G035800
phospholipase-D *(PLD-alpha),TraesCS1D02G116700
phospholipase-D *(PLD-alpha),TraesCS1D02G379900
phospholipase-D *(PLD-alpha),TraesCS3A02G130000
phospholipase-D *(PLD-alpha),TraesCS3B02G149100
phospholipase-D *(PLD-alpha),TraesCS3D02G130900
phospholipase-D *(PLD-alpha),TraesCS4B02G377600
phospholipase-D *(PLD-beta/gamma),TraesCS1A02G187400
phospholipase-D *(PLD-beta/gamma),TraesCS1A02G365100
phospholipase-D *(PLD-beta/gamma),TraesCS1B02G195200
phospholipase-D *(PLD-beta/gamma),TraesCS1B02G382600
phospholipase-D *(PLD-beta/gamma),TraesCS1D02G189300
phospholipase-D *(PLD-beta/gamma),TraesCS1D02G370600
phospholipase-D *(PLD-beta/gamma),TraesCS4D02G346700
phospholipase-D *(PLD-zeta),TraesCS1A02G228300
phospholipase-D *(PLD-zeta),TraesCS1B02G242500
phospholipase-D *(PLD-zeta),TraesCS1D02G230100
catalytic component *(LCB1),TraesCS4A02G081700
catalytic component *(LCB1),TraesCS4B02G222100
catalytic component *(LCB1),TraesCS4D02G222600
catalytic component *(LCB2),TraesCS3A02G443500
catalytic component *(LCB2),TraesCS3B02G477100
catalytic component *(LCB2),TraesCS3D02G435900
small subunit *(ssSPT),TraesCS2A02G380700
small subunit *(ssSPT),TraesCS2B02G397800
small subunit *(ssSPT),TraesCS2D02G377000
ALA-ALIS flippase complex,TraesCS1A02G002500
P4-type ATPase component *(ALA),TraesCS1A02G002500
ALA-ALIS flippase complex,TraesCS1A02G132600
P4-type ATPase component *(ALA),TraesCS1A02G132600
ALA-ALIS flippase complex,TraesCS1B02G001800
P4-type ATPase component *(ALA),TraesCS1B02G001800
ALA-ALIS flippase complex,TraesCS1B02G154200
P4-type ATPase component *(ALA),TraesCS1B02G154200
ALA-ALIS flippase complex,TraesCS1D02G004700
P4-type ATPase component *(ALA),TraesCS1D02G004700
ALA-ALIS flippase complex,TraesCS1D02G135500
P4-type ATPase component *(ALA),TraesCS1D02G135500
ALA-ALIS flippase complex,TraesCS2A02G203300
P4-type ATPase component *(ALA),TraesCS2A02G203300
ALA-ALIS flippase complex,TraesCS2A02G276800
P4-type ATPase component *(ALA),TraesCS2A02G276800
ALA-ALIS flippase complex,TraesCS2B02G230600
P4-type ATPase component *(ALA),TraesCS2B02G230600
ALA-ALIS flippase complex,TraesCS2B02G294800
P4-type ATPase component *(ALA),TraesCS2B02G294800
ALA-ALIS flippase complex,TraesCS2D02G212400
P4-type ATPase component *(ALA),TraesCS2D02G212400
ALA-ALIS flippase complex,TraesCS2D02G276300
P4-type ATPase component *(ALA),TraesCS2D02G276300
ALA-ALIS flippase complex,TraesCS3A02G189700
P4-type ATPase component *(ALA),TraesCS3A02G189700
ALA-ALIS flippase complex,TraesCS3B02G218800
P4-type ATPase component *(ALA),TraesCS3B02G218800
ALA-ALIS flippase complex,TraesCS3D02G193200
P4-type ATPase component *(ALA),TraesCS3D02G193200
ALA-ALIS flippase complex,TraesCS4A02G130300
P4-type ATPase component *(ALA),TraesCS4A02G130300
ALA-ALIS flippase complex,TraesCS4A02G134800
P4-type ATPase component *(ALA),TraesCS4A02G134800
ALA-ALIS flippase complex,TraesCS4B02G170400
P4-type ATPase component *(ALA),TraesCS4B02G170400
ALA-ALIS flippase complex,TraesCS4B02G174200
P4-type ATPase component *(ALA),TraesCS4B02G174200
ALA-ALIS flippase complex,TraesCS4B02G174300
P4-type ATPase component *(ALA),TraesCS4B02G174300
ALA-ALIS flippase complex,TraesCS4D02G172400
P4-type ATPase component *(ALA),TraesCS4D02G172400
ALA-ALIS flippase complex,TraesCS4D02G176200
P4-type ATPase component *(ALA),TraesCS4D02G176200
ALA-ALIS flippase complex,TraesCS4D02G176300
P4-type ATPase component *(ALA),TraesCS4D02G176300
ALA-ALIS flippase complex,TraesCS1A02G350000
regulatory component *(ALIS),TraesCS1A02G350000
ALA-ALIS flippase complex,TraesCS1B02G364300
regulatory component *(ALIS),TraesCS1B02G364300
ALA-ALIS flippase complex,TraesCS1D02G352700
regulatory component *(ALIS),TraesCS1D02G352700
ALA-ALIS flippase complex,TraesCS4B02G350400
regulatory component *(ALIS),TraesCS4B02G350400
ALA-ALIS flippase complex,TraesCS4D02G345100
regulatory component *(ALIS),TraesCS4D02G345100
phospholipid scramblase,TraesCS2A02G442400
phospholipid scramblase,TraesCS2B02G463500
phospholipid scramblase,TraesCS2D02G441400
phospholipid scramblase,TraesCS2D02G468700
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2A02G127500
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2A02G127600
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2B02G149500
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2D02G129800
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2D02G129900
N6-methylated-AMP deaminase *(MAPDA/ADAL),TraesCS2D02G130200
component *(SUF-B),TraesCS3A02G349800
component *(SUF-B),TraesCS3B02G382400
component *(SUF-B),TraesCS3D02G343800
component *(SUF-C),TraesCS4A02G133200
component *(SUF-C),TraesCS4B02G171400
component *(SUF-C),TraesCS4D02G173500
component *(SUF-D),TraesCS3A02G047200
component *(SUF-D),TraesCS3B02G035600
component *(SUF-D),TraesCS3D02G032700
cysteine desulfurase component *(NFS2),TraesCS4B02G122000
cysteine desulfurase component *(NFS2),TraesCS4D02G120100
component *(IscA1),TraesCS4D02G054300
1),TraesCS4A02G371400
component *(DRE2),TraesCS2A02G553500
component *(DRE2),TraesCS2B02G585100
component *(DRE2),TraesCS2D02G555000
component *(DRE2),TraesCS3D02G385000
component *(TAH18),TraesCS1A02G226400
component *(TAH18),TraesCS1D02G227800
component *(TAH18),TraesCS3A02G280500
component *(TAH18),TraesCS3B02G314200
component *(TAH18),TraesCS3D02G280300
protochlorophyllide oxidoreductase *(POR),TraesCS1A02G171000
protochlorophyllide oxidoreductase *(POR),TraesCS1B02G186300
protochlorophyllide oxidoreductase *(POR),TraesCS1D02G168700
protochlorophyllide oxidoreductase *(POR),TraesCS2A02G590600
protochlorophyllide oxidoreductase *(POR),TraesCS2B02G593000
protochlorophyllide oxidoreductase *(POR),TraesCS2D02G563600
protochlorophyllide oxidoreductase *(POR),TraesCS2D02G563700
chaperone of protochlorophyllide oxidoreductase *(CPP1),TraesCS2D02G526800
chaperone of protochlorophyllide oxidoreductase *(CPP1),TraesCS4B02G220400
chaperone of protochlorophyllide oxidoreductase *(DAY),TraesCS4B02G220400
chaperone of protochlorophyllide oxidoreductase *(CPP1),TraesCS4D02G220700
chaperone of protochlorophyllide oxidoreductase *(DAY),TraesCS4D02G220700
carotenoid beta-ring hydroxylase *(BCH),TraesCS2A02G396200
carotenoid beta-ring hydroxylase *(BCH),TraesCS2B02G414500
carotenoid beta-ring hydroxylase *(BCH),TraesCS2D02G393900
carotenoid beta-ring hydroxylase *(BCH),TraesCS4B02G318000
carotenoid beta-ring hydroxylase *(BCH),TraesCS4D02G314400
carotenoid epsilon-ring hydroxylase *(LUT1),TraesCS1A02G206900
carotenoid epsilon-ring hydroxylase *(LUT1),TraesCS1B02G220700
carotenoid epsilon-ring hydroxylase *(LUT1),TraesCS1D02G210200
chalcone synthase *(CHS),TraesCS1A02G032100
chalcone synthase *(CHS),TraesCS1A02G032300
chalcone synthase *(CHS),TraesCS1B02G040000
chalcone synthase *(CHS),TraesCS1B02G040100
chalcone synthase *(CHS),TraesCS1B02G040200
chalcone synthase *(CHS),TraesCS1B02G040300
chalcone synthase *(CHS),TraesCS1B02G040500
chalcone synthase *(CHS),TraesCS1B02G041000
chalcone synthase *(CHS),TraesCS1D02G033600
chalcone synthase *(CHS),TraesCS1D02G033800
chalcone synthase *(CHS),TraesCS2A02G025500
chalcone synthase *(CHS),TraesCS2A02G025600
chalcone synthase *(CHS),TraesCS2A02G025700
chalcone synthase *(CHS),TraesCS2A02G035300
chalcone synthase *(CHS),TraesCS2A02G527700
chalcone synthase *(CHS),TraesCS2B02G038600
chalcone synthase *(CHS),TraesCS2B02G038700
chalcone synthase *(CHS),TraesCS2B02G048400
chalcone synthase *(CHS),TraesCS2B02G558400
chalcone synthase *(CHS),TraesCS2B02G613100
chalcone synthase *(CHS),TraesCS2D02G027700
chalcone synthase *(CHS),TraesCS2D02G027900
chalcone synthase *(CHS),TraesCS2D02G034500
chalcone synthase *(CHS),TraesCS2D02G530600
substrate(CHS) adaptor of SCF E3 ubiquitin ligase *(KFB-CHS),TraesCS3A02G253800
substrate(CHS) adaptor of SCF E3 ubiquitin ligase *(KFB-CHS),TraesCS3B02G285700
substrate(CHS) adaptor of SCF E3 ubiquitin ligase *(KFB-CHS),TraesCS3D02G254700
component *(PAP10/TrxZ),TraesCS4A02G240000
component *(PAP10/TrxZ),TraesCS4B02G074900
component *(PAP10/TrxZ),TraesCS4D02G073500
receptor component *(PYL/RCAR),TraesCS1A02G126800
receptor component *(PYL/RCAR),TraesCS1A02G191700
receptor component *(PYL/RCAR),TraesCS1A02G297600
receptor component *(PYL/RCAR),TraesCS1B02G145800
receptor component *(PYL/RCAR),TraesCS1B02G206600
receptor component *(PYL/RCAR),TraesCS1B02G306800
receptor component *(PYL/RCAR),TraesCS1D02G126900
receptor component *(PYL/RCAR),TraesCS1D02G195300
receptor component *(PYL/RCAR),TraesCS1D02G293600
receptor component *(PYL/RCAR),TraesCS2A02G089400
receptor component *(PYL/RCAR),TraesCS2B02G105300
receptor component *(PYL/RCAR),TraesCS2D02G087500
receptor component *(PYL/RCAR),TraesCS3A02G154400
receptor component *(PYL/RCAR),TraesCS3A02G348400
receptor component *(PYL/RCAR),TraesCS3B02G380300
receptor component *(PYL/RCAR),TraesCS3D02G161500
receptor component *(PYL/RCAR),TraesCS3D02G342000
receptor component *(PYL/RCAR),TraesCS4A02G114400
receptor component *(PYL/RCAR),TraesCS4B02G189800
receptor component *(PYL/RCAR),TraesCS4D02G191200
regulatory phosphatase component *(ABI1/ABI2),TraesCS1A02G358600
regulatory phosphatase component *(ABI1/ABI2),TraesCS1A02G441200
regulatory phosphatase component *(ABI1/ABI2),TraesCS1B02G375100
regulatory phosphatase component *(ABI1/ABI2),TraesCS1B02G475700
regulatory phosphatase component *(ABI1/ABI2),TraesCS1D02G363500
regulatory phosphatase component *(ABI1/ABI2),TraesCS1D02G449700
regulatory phosphatase component *(ABI1/ABI2),TraesCS3A02G209200
regulatory phosphatase component *(ABI1/ABI2),TraesCS3A02G249000
regulatory phosphatase component *(ABI1/ABI2),TraesCS3B02G240000
regulatory phosphatase component *(ABI1/ABI2),TraesCS3B02G277900
regulatory phosphatase component *(ABI1/ABI2),TraesCS3D02G212100
regulatory phosphatase component *(ABI1/ABI2),TraesCS3D02G249000
co-receptor kinase component *(BAK1),TraesCS2A02G343100
co-receptor kinase component *(BAK1),TraesCS2B02G340700
co-receptor kinase component *(BAK1),TraesCS2D02G321400
N-methyltransferase component *(ATX3/4/5),TraesCS3A02G143300
N-methyltransferase component *(ATX3/4/5),TraesCS3A02G237200
N-methyltransferase component *(ATX3/4/5),TraesCS3B02G161800
N-methyltransferase component *(ATX3/4/5),TraesCS3B02G265800
N-methyltransferase component *(ATX3/4/5),TraesCS3D02G144300
N-methyltransferase component *(ATX3/4/5),TraesCS3D02G237600
component *(RBL/SWD1),TraesCS4A02G050200
component *(RBL/SWD1),TraesCS4B02G254400
component *(RBL/SWD1),TraesCS4D02G254200
component *(S2Lb/SWD2),TraesCS4A02G239700
component *(S2Lb/SWD2),TraesCS4B02G075300
component *(S2Lb/SWD2),TraesCS4D02G074000
component *(WDR5/SWD3),TraesCS2A02G196900
component *(WDR5/SWD3),TraesCS2B02G224500
component *(WDR5/SWD3),TraesCS2D02G204900
component *(WDR5/SWD3),TraesCS4A02G258000
component *(WDR5/SWD3),TraesCS4B02G056500
component *(WDR5/SWD3),TraesCS4D02G056800
auxiliary component *(JMJ24),TraesCS4A02G139300
auxiliary component *(JMJ24),TraesCS4B02G154300
PRC2 histone methylation complex,TraesCS4A02G388400
PRC2 histone methylation complex,TraesCS2A02G000100
PRC2 histone methylation complex,TraesCS2A02G002500
PRC2 histone methylation complex,TraesCS2B02G020400
PRC2 histone methylation complex,TraesCS2B02G023900
PRC2 histone methylation complex,TraesCS2D02G000600
PRC2 histone methylation complex,TraesCS4A02G121300
PRC2 histone methylation complex,TraesCS4B02G181400
PRC2 histone methylation complex,TraesCS4D02G184600
PRC2 histone methylation complex,TraesCS3A02G211500
PRC2 histone methylation complex,TraesCS3B02G241900
PRC2 histone methylation complex,TraesCS3D02G214200
PRC2 histone methylation complex,TraesCS1A02G108900
PRC2 histone methylation complex,TraesCS1B02G108200
PRC2 histone methylation complex,TraesCS1D02G090400
PRC2 histone methylation complex,TraesCS3A02G417600
PRC2 histone methylation complex,TraesCS3B02G452800
PRC2 histone methylation complex,TraesCS3D02G413200
PRC2 histone methylation complex,TraesCS1A02G443000
PRC2 histone methylation complex,TraesCS1B02G477100
PRC2 histone methylation complex,TraesCS1D02G451000
PRC2 histone methylation complex,TraesCS2A02G442800
PRC2 histone methylation complex,TraesCS2B02G463900
PRC2 histone methylation complex,TraesCS2D02G441900
PRC2 histone methylation complex,TraesCS3A02G203300
PRC2 histone methylation complex,TraesCS3B02G229300
PRC2 histone methylation complex,TraesCS3D02G206700
PRC2 histone methylation complex,TraesCS3A02G194300
PRC2 histone methylation complex,TraesCS3B02G230600
PRC2 histone methylation complex,TraesCS3D02G205500
PRC2 histone methylation complex,TraesCS1A02G060300
PRC2 histone methylation complex,TraesCS2A02G488700
PRC2 histone methylation complex,TraesCS2B02G516500
PRC2 histone methylation complex,TraesCS2D02G489000
histone H3K36 methyltransferase *(SDG8),TraesCS2A02G005000
histone H3K36 methyltransferase *(SDG8),TraesCS2B02G015500
histone H3K36 methyltransferase *(SDG8),TraesCS2D02G007100
histone methyltransferase *(ATXR1),TraesCS4A02G019300
histone methyltransferase *(ATXR1),TraesCS4B02G284800
histone methyltransferase *(ATXR1),TraesCS4D02G283500
histone methyltransferase *(ATXR2),TraesCS2A02G479500
histone methyltransferase *(ATXR2),TraesCS2B02G504000
histone methyltransferase *(ATXR2),TraesCS2D02G478700
histone methyltransferase *(ASHR1),TraesCS4A02G271900
histone methyltransferase *(ASHR1),TraesCS4B02G042100
histone methyltransferase *(ASHR1),TraesCS4D02G039300
histone H3K9 methyltransferase *(KYP),TraesCS1A02G241600
histone H3K9 methyltransferase *(KYP),TraesCS1D02G241500
histone H3K9 methyltransferase *(KYP),TraesCS3A02G441200
histone H3K9 methyltransferase *(KYP),TraesCS3D02G433900
histone H3K9 methyltransferase *(SUVH5/6),TraesCS1A02G117300
histone H3K9 methyltransferase *(SUVH5/6),TraesCS1B02G137100
histone H3K9 methyltransferase *(SUVH5/6),TraesCS1D02G118300
histone H3K9 methyltransferase *(SUVH5/6),TraesCS2A02G389600
histone H3K9 methyltransferase *(SUVH5/6),TraesCS2B02G409600
histone H3K9 methyltransferase *(SUVH5/6),TraesCS2D02G389100
histone H3K9 methylation reader *(AGDP1),TraesCS1A02G075100
histone H3K9 methylation reader *(AGDP1),TraesCS1B02G093700
histone H3K9 methylation reader *(AGDP1),TraesCS1D02G077700
reader component *(TDRD3),TraesCS3A02G121600
reader component *(TDRD3),TraesCS3B02G141000
reader component *(TDRD3),TraesCS3D02G123700
acetyltransferase component *(HAM),TraesCS2A02G159700
acetyltransferase component *(HAM),TraesCS2B02G185300
acetyltransferase component *(HAM),TraesCS2D02G166900
methylation reader component *(ING1),TraesCS4A02G409000
methylation reader component *(ING1),TraesCS4B02G307800
methylation reader component *(ING1),TraesCS4D02G306000
platform component *(EAF1),TraesCS1A02G439500
platform component *(EAF1),TraesCS1B02G474800
platform component *(EAF1),TraesCS1D02G448700
platform component *(EAF1),TraesCS3A02G208200
platform component *(EAF1),TraesCS3B02G235600
platform component *(EAF1),TraesCS3D02G211100
assembly platform component *(TRA1),TraesCS2A02G141800
assembly platform component *(TRA1),TraesCS2B02G167000
assembly platform component *(TRA1),TraesCS2D02G145300
component *(EAF7),TraesCS1A02G332400
component *(EAF7),TraesCS1B02G346100
component *(EAF7),TraesCS1D02G335100
methylation reader component *(MRG),TraesCS2A02G044800
methylation reader component *(MRG),TraesCS2B02G057000
methylation reader component *(MRG),TraesCS2D02G043400
component *(YAF9),TraesCS4A02G375100
recruitment factor component *(SWC4),TraesCS1A02G361500
recruitment factor component *(SWC4),TraesCS1B02G378100
recruitment factor component *(SWC4),TraesCS1D02G366200
HDA9-PWR deacetylation complex,TraesCS2A02G293200
histone deacetylase *(HDA8),TraesCS2A02G293200
HDA9-PWR deacetylation complex,TraesCS2B02G309700
histone deacetylase *(HDA8),TraesCS2B02G309700
HDA9-PWR deacetylation complex,TraesCS2D02G291000
histone deacetylase *(HDA8),TraesCS2D02G291000
HDA9-PWR deacetylation complex,TraesCS1A02G068300
HDA9-PWR deacetylation complex,TraesCS1B02G086600
HDA9-PWR deacetylation complex,TraesCS1D02G069700
HDA9-PWR deacetylation complex,TraesCS2A02G227200
HDA9-PWR deacetylation complex,TraesCS2B02G255700
HDA9-PWR deacetylation complex,TraesCS2D02G235100
SNL-HDA19 histone deacetylase complex,TraesCS1A02G002700
SNL-HDA19 histone deacetylase complex,TraesCS1B02G002000
SNL-HDA19 histone deacetylase complex,TraesCS1D02G004900
SNL-HDA19 histone deacetylase complex,TraesCS3B02G005900
SNL-HDA19 histone deacetylase complex,TraesCS3D02G007600
SNL-HDA19 histone deacetylase complex,TraesCS2A02G000700
SNL-HDA19 histone deacetylase complex,TraesCS2B02G023400
SNL-HDA19 histone deacetylase complex,TraesCS2D02G000100
SNL-HDA19 histone deacetylase complex,TraesCS3A02G127400
SNL-HDA19 histone deacetylase complex,TraesCS3B02G146600
SNL-HDA19 histone deacetylase complex,TraesCS3D02G128600
HHP1-HDA6 histone deacetylation complex,TraesCS1A02G253000
HHP1-HDA6 histone deacetylation complex,TraesCS1A02G253100
HHP1-HDA6 histone deacetylation complex,TraesCS1B02G265000
HHP1-HDA6 histone deacetylation complex,TraesCS1B02G265200
HHP1-HDA6 histone deacetylation complex,TraesCS1D02G252500
HHP1-HDA6 histone deacetylation complex,TraesCS1D02G252700
HHP1-HDA6 histone deacetylation complex,TraesCS2A02G200200
HHP1-HDA6 histone deacetylation complex,TraesCS2D02G208000
HHP1-HDA6 histone deacetylation complex,TraesCS4A02G139000
HHP1-HDA6 histone deacetylation complex,TraesCS4A02G139100
HHP1-HDA6 histone deacetylation complex,TraesCS4B02G154500
HHP1-HDA6 histone deacetylation complex,TraesCS4B02G155200
HHP1-HDA6 histone deacetylation complex,TraesCS4D02G165400
HHP1-HDA6 histone deacetylation complex,TraesCS4D02G167100
histone deacetylase *(HDA8),TraesCS1A02G275300
histone deacetylase *(HDA8),TraesCS1B02G284500
histone deacetylase *(HDA8),TraesCS1D02G274900
histone deacetylase *(HDA8),TraesCS4A02G213200
histone deacetylase *(HDA8),TraesCS4B02G102600
histone deacetylase *(HDA8),TraesCS4D02G100000
kinase component *(beta-AUR),TraesCS1A02G314000
kinase component *(beta-AUR),TraesCS1B02G326100
kinase component *(beta-AUR),TraesCS1D02G314400
component *(DRD1),TraesCS2A02G140400
component *(DRD1),TraesCS2A02G182200
component *(DRD1),TraesCS2B02G164300
component *(DRD1),TraesCS2B02G208700
component *(DRD1),TraesCS2D02G189900
component *(DRD1),TraesCS4A02G022800
component *(DRD1),TraesCS4B02G280600
component *(DRD1),TraesCS4D02G279200
component *(DMS3),TraesCS3A02G158200
component *(DMS3),TraesCS3B02G185200
component *(DMS3),TraesCS3D02G165900
protein factor *(NERD),TraesCS1A02G178100
protein factor *(NERD),TraesCS1D02G176600
protein factor *(NERD),TraesCS4B02G395800
siRNA-binding factor *(AGO2),TraesCS2A02G419900
siRNA-binding factor *(AGO2),TraesCS2B02G439000
siRNA-binding factor *(AGO2),TraesCS2D02G417000
methylated DNA binding component *(SUVH1/3),TraesCS1A02G308300
methylated DNA binding component *(SUVH1/3),TraesCS1A02G362000
methylated DNA binding component *(SUVH1/3),TraesCS1B02G319000
methylated DNA binding component *(SUVH1/3),TraesCS1B02G378900
methylated DNA binding component *(SUVH1/3),TraesCS1D02G307700
methylated DNA binding component *(SUVH1/3),TraesCS1D02G366800
methylated DNA binding component *(SUVH1/3),TraesCS3A02G336100
methylated DNA binding component *(SUVH1/3),TraesCS3A02G385200
methylated DNA binding component *(SUVH1/3),TraesCS3B02G366900
methylated DNA binding component *(SUVH1/3),TraesCS3B02G367200
methylated DNA binding component *(SUVH1/3),TraesCS3B02G417400
methylated DNA binding component *(SUVH1/3),TraesCS3D02G329100
methylated DNA binding component *(SUVH1/3),TraesCS3D02G378200
methylated DNA binding component *(SUVH1/3),TraesCS4A02G023500
methylated DNA binding component *(SUVH1/3),TraesCS4B02G280000
methylated DNA binding component *(SUVH1/3),TraesCS4D02G278500
chaperone component *(SDJ),TraesCS1A02G141000
chaperone component *(SDJ),TraesCS1D02G139900
chaperone component *(SDJ),TraesCS2A02G165100
chaperone component *(SDJ),TraesCS2B02G191300
chaperone component *(SDJ),TraesCS2D02G172200
chaperone component *(SDJ),TraesCS4A02G160900
chaperone component *(SDJ),TraesCS4A02G456000
chaperone component *(SDJ),TraesCS4B02G160100
chaperone component *(SDJ),TraesCS4D02G156000
component *(ASI1/IBM2),TraesCS2A02G169000
component *(ASI1/IBM2),TraesCS2B02G195300
component *(ASI1/IBM2),TraesCS2D02G176600
component *(AIPP1/EDM3),TraesCS2A02G303800
component *(AIPP1/EDM3),TraesCS2A02G570300
component *(AIPP1/EDM3),TraesCS2B02G320400
component *(AIPP1/EDM3),TraesCS2D02G302300
component *(AIPP1/EDM3),TraesCS2D02G581300
component *(AIPP1/EDM3),TraesCS4A02G282400
component *(AIPP1/EDM3),TraesCS4B02G030900
component *(AIPP1/EDM3),TraesCS4D02G028400
component *(BRP1),TraesCS3A02G246500
component *(BRP1),TraesCS3B02G272900
component *(BRP1),TraesCS3D02G245000
regulatory component *(AIPP3),TraesCS3A02G197800
regulatory component *(AIPP3),TraesCS3B02G228200
regulatory component *(AIPP3),TraesCS3D02G196600
regulatory component *(AIPP3),TraesCS3D02G204500
regulatory component *(AIPP2),TraesCS1A02G190700
regulatory component *(AIPP2),TraesCS1B02G205900
phosphatase component *(CPL),TraesCS2A02G373400
phosphatase component *(CPL),TraesCS2B02G390500
phosphatase component *(CPL),TraesCS2D02G369600
phosphatase component *(CPL),TraesCS3A02G370000
phosphatase component *(CPL),TraesCS3B02G401900
phosphatase component *(CPL),TraesCS3D02G362900
component *(IDM1),TraesCS2A02G305000
component *(IDM1),TraesCS2A02G563500
component *(IDM1),TraesCS2B02G321800
component *(IDM1),TraesCS2B02G622700
component *(IDM1),TraesCS2D02G303600
component *(IDM1),TraesCS2D02G571900
transposon-derived factor HDP1,TraesCS2A02G441200
transposon-derived factor HDP1,TraesCS2B02G147500
transposon-derived factor HDP1,TraesCS2D02G128100
transposon-derived factor HDP1,TraesCS2D02G437700
component *(RFC2),TraesCS2A02G401300
component *(RFC2),TraesCS2B02G419300
